BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.0015,0.0594,0.0,0.0509,0.0062,0.0247,0.9062,9.4512,0.4144,0.2275,0.0769,0.0469,0.0938
0.0006,0.0044,0.0,0.0044,0.0009,0.0038,0.9786,2.3499,0.2993,0.366,0.0511,0.0192,0.0214
0.0066,0.0869,0.0088,0.0826,0.0097,0.0377,0.8684,10.7681,0.1821,0.2265,0.0047,0.0526,0.1316
0.0307,0.1333,0.0674,0.1333,0.018,0.0525,0.8559,12.5738,0.5478,0.3883,0.0005,0.0811,0.1441
0.0039,0.0834,0.0,0.0668,0.017,0.0526,0.8705,10.8927,0.5238,0.2637,0.0063,0.0719,0.1295
0.0079,0.1327,0.0,0.1327,0.0236,0.0709,0.8705,10.8927,0.4209,0.4402,0.0063,0.0719,0.1295
0.001,0.022,0.0,0.0176,0.0013,0.0056,0.9037,0.0,0.3268,0.2374,0.9947,0.0593,0.0481
0.0018,0.0267,0.0,0.0267,0.0021,0.0056,0.9037,0.0,0.1452,0.3228,0.9947,0.0741,0.0481
0.0017,0.0522,0.004,0.0482,0.0011,0.0135,0.9804,2.1407,0.4266,0.337,0.025,0.0073,0.0196
0.0008,0.0282,0.0,0.0282,0.0009,0.0069,0.9818,1.9943,0.2862,0.3694,0.0146,0.0068,0.0182
0.0095,0.2149,0.02,0.0915,0.1913,0.0815,0.3306,36.66,0.3604,0.3415,0.0046,0.5802,0.6694
0.0032,0.0107,0.0,0.0107,0.0103,0.0369,0.8889,9.86,0.1696,0.3206,0.4983,0.0778,0.1111
0.0013,0.0696,0.0,0.058,0.0047,0.0223,0.9,9.618,0.231,0.1683,0.9912,0.07,0.1
0.0012,0.0241,0.0,0.0241,0.0007,0.0038,0.95,4.809,0.2265,0.3357,0.99,0.04,0.05
0.009,0.1809,0.0271,0.0847,0.1779,0.0714,0.2793,38.69,0.39,0.3203,0.0048,0.6375,0.7207
0.0505,0.356,0.0638,0.1978,0.2681,0.1273,0.392,43.06,0.4261,0.5428,0.0045,0.6316,0.608
0.0247,0.2615,0.0462,0.1193,0.2371,0.0885,0.3407,41.53,0.4418,0.4288,0.0043,0.6517,0.6593
0.0226,0.3391,0.0497,0.148,0.2582,0.1181,0.3407,41.53,0.4263,0.5242,0.0043,0.6292,0.6593
0.0016,0.0336,0.0,0.0336,0.0052,0.0252,0.8992,9.026,0.5458,0.2381,0.0436,0.0465,0.1008
0.0276,0.3842,0.0697,0.197,0.2984,0.1236,0.3407,41.53,0.5322,0.6712,0.0043,0.6742,0.6593
0.0035,0.118,0.0049,0.0885,0.0165,0.0435,0.8092,15.9993,0.5977,0.3129,0.0097,0.0992,0.1908
0.0027,0.0804,0.0,0.0714,0.0169,0.0272,0.7923,16.845,0.2864,0.3983,0.0102,0.1538,0.2077
0.0019,0.0961,0.0,0.0869,0.0092,0.0401,0.8889,10.9097,0.5327,0.2528,0.0321,0.0556,0.1111
0.0005,0.0,0.0,0.0,0.0003,0.0029,0.9883,1.2225,0.1697,0.3113,0.1393,0.0098,0.0117
0.0007,0.0172,0.0,0.0172,0.0004,0.0079,0.9883,1.2225,0.3115,0.2834,0.1393,0.0059,0.0117
0.0925,0.4538,0.1017,0.2353,0.3422,0.1723,0.3407,41.53,0.4423,0.6705,0.0043,0.5618,0.6593
0.0419,0.2918,0.0526,0.1263,0.2653,0.1116,0.3407,41.53,0.4797,0.4134,0.0043,0.5506,0.6593
0.0242,0.2366,0.0217,0.1505,0.2217,0.0987,0.3305,37.27,0.4017,0.6063,0.0067,0.7468,0.6695
0.0016,0.0445,0.0,0.0401,0.0061,0.0235,0.9141,8.7719,0.3703,0.2396,0.0096,0.0547,0.0859
0.0024,0.0349,0.0,0.0349,0.005,0.0175,0.9141,8.7719,0.2458,0.3467,0.0096,0.0703,0.0859
0.0019,0.0838,0.0,0.0789,0.0095,0.0328,0.874,12.4657,0.1407,0.2684,0.1091,0.0551,0.126
0.0774,0.4281,0.0799,0.2061,0.3306,0.1459,0.3407,41.53,0.4615,0.6292,0.0043,0.618,0.6593
0.0018,0.1167,0.0,0.0821,0.0168,0.0447,0.8403,16.8224,0.4596,0.2522,0.0099,0.0672,0.1597
