BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.2677,0.6135,0.2816,0.3527,0.4524,0.3099,0.452,60.24,0.7804,0.7099,0.0006,0.4453,0.548
0.2908,0.5576,0.3019,0.4182,0.4771,0.3114,0.4246,51.68,0.8351,0.7288,0.0016,0.5172,0.5754
0.1404,0.4906,0.1897,0.2911,0.4244,0.1917,0.4597,53.92,0.6827,0.6918,0.0012,0.5821,0.5403
0.3302,0.6253,0.3688,0.4393,0.5852,0.3551,0.468,61.77,0.8228,0.7387,0.0009,0.4135,0.532
0.3487,0.6202,0.3636,0.3876,0.5311,0.3668,0.4822,53.51,0.8724,0.7357,0.0012,0.3969,0.5178
0.0978,0.4556,0.1453,0.2222,0.1462,0.1408,0.544,60.24,0.4114,0.6156,0.0007,0.284,0.456
0.165,0.5232,0.2533,0.2583,0.4299,0.2016,0.4583,66.07,0.7169,0.6604,0.0005,0.547,0.5417
0.3406,0.5799,0.3538,0.4121,0.5238,0.3639,0.3442,44.75,0.8698,0.5033,0.0062,0.4158,0.6558
0.2289,0.585,0.2913,0.3565,0.5826,0.2658,0.4453,51.78,0.6879,0.7334,0.0279,0.4891,0.5547
0.1002,0.3656,0.1733,0.2867,0.4155,0.12,0.4232,57.0,0.7672,0.6694,0.0013,0.7122,0.5768
0.0957,0.3681,0.1888,0.2847,0.4378,0.1162,0.4177,49.65,0.6627,0.6957,0.0085,0.7241,0.5823
0.1753,0.4483,0.2197,0.3276,0.4477,0.2022,0.44,54.97,0.8372,0.7147,0.0066,0.6214,0.56
0.1557,0.5038,0.1722,0.2771,0.4061,0.2036,0.4524,49.75,0.6482,0.6869,0.0004,0.5652,0.5476
0.2459,0.5422,0.3091,0.2651,0.2829,0.2655,0.5179,46.17,0.5976,0.7025,0.014,0.2032,0.4821
0.2524,0.5401,0.3701,0.3798,0.2591,0.2716,0.54,61.46,0.8923,0.69,0.0007,0.196,0.46
0.1626,0.4667,0.2256,0.3152,0.4392,0.1891,0.448,54.73,0.8171,0.7073,0.0027,0.6087,0.552
0.1675,0.504,0.1995,0.2949,0.4141,0.2137,0.4822,68.2,0.7651,0.6859,0.0107,0.5802,0.5178
0.1086,0.4712,0.1316,0.2251,0.3589,0.1633,0.4622,55.58,0.6256,0.6639,0.0021,0.6074,0.5378
0.2988,0.6532,0.3593,0.3771,0.3004,0.3223,0.5158,60.75,0.8307,0.7302,0.0003,0.1765,0.4842
0.2164,0.5365,0.288,0.3438,0.406,0.2535,0.4718,51.72,0.8021,0.7357,0.009,0.5038,0.5282
0.046,0.4044,0.0659,0.1967,0.3256,0.1237,0.4274,60.24,0.5843,0.6327,0.0076,0.6761,0.5726
0.3349,0.4796,0.3052,0.33,0.4523,0.3561,0.4739,48.84,0.8773,0.6095,0.0037,0.3471,0.5261
0.2271,0.5477,0.2424,0.3216,0.4507,0.2648,0.413,69.01,0.6555,0.7123,0.0176,0.531,0.587
0.1457,0.4838,0.2018,0.3127,0.4662,0.1846,0.4879,53.21,0.7701,0.6921,0.0062,0.5512,0.5121
0.2549,0.5928,0.3064,0.3601,0.5589,0.2909,0.498,55.13,0.858,0.7231,0.0055,0.432,0.502
0.1846,0.4087,0.243,0.3158,0.1982,0.1956,0.5794,31.2997,0.6967,0.6233,0.0018,0.2302,0.4206
0.2051,0.4665,0.2894,0.3131,0.2332,0.2203,0.52,63.49,0.7333,0.6811,0.0098,0.256,0.48
0.2282,0.4699,0.297,0.2952,0.2312,0.2445,0.506,62.07,0.4811,0.672,0.0016,0.2789,0.494
0.4125,0.6809,0.4561,0.4539,0.5941,0.4332,0.4766,54.46,0.9257,0.797,0.001,0.3507,0.5234
0.2228,0.5693,0.2637,0.3119,0.4522,0.2626,0.494,60.04,0.8621,0.6759,0.0059,0.4444,0.506
0.3278,0.6327,0.3989,0.445,0.5529,0.3448,0.4758,58.21,0.8693,0.7453,0.0062,0.3846,0.5242
0.2902,0.611,0.3202,0.3185,0.5024,0.3151,0.4427,57.81,0.8186,0.7342,0.0013,0.4681,0.5573
0.2312,0.5171,0.3197,0.3738,0.5952,0.2455,0.4701,58.21,0.844,0.7546,0.0005,0.5263,0.5299
0.1763,0.5,0.226,0.309,0.4421,0.2114,0.4343,47.12,0.6608,0.6951,0.0004,0.6127,0.5657
0.1903,0.4984,0.2571,0.2617,0.4912,0.213,0.4839,68.6,0.7388,0.7004,0.006,0.5547,0.5161
0.1558,0.472,0.2125,0.2857,0.4832,0.1781,0.496,68.6,0.7549,0.6747,0.0006,0.5952,0.504
0.2,0.4921,0.2984,0.3218,0.2789,0.2212,0.506,58.11,0.7696,0.7052,0.0043,0.253,0.494
0.2312,0.6037,0.285,0.3097,0.4775,0.2686,0.464,61.56,0.7123,0.7146,0.0018,0.4851,0.536
0.2035,0.5241,0.2312,0.2995,0.4236,0.2375,0.4422,60.14,0.755,0.6887,0.0021,0.5214,0.5578
0.3242,0.5416,0.372,0.2842,0.5149,0.3397,0.4821,57.61,0.7346,0.7209,0.0019,0.4462,0.5179
0.2947,0.5266,0.3606,0.3978,0.2429,0.3074,0.5159,65.86,0.8112,0.7399,0.001,0.2262,0.4841
0.0613,0.4709,0.1292,0.2324,0.3939,0.1168,0.4094,58.21,0.7634,0.6803,0.0005,0.68,0.5906
